Date,Weekly_Sales,,,,,,,
2012-11-02,8436.598,,,,,,,
2012-11-09,9015.3478,,,,,,,
2012-11-16,8656.6582,,,,,,,
2012-11-23,8355.3063,,,,,,,
2012-11-30,9378.617,,,,,,,
2012-12-07,10640.7134,,,,,,,
2012-12-14,11611.1995,,,,,,,
2012-12-21,12880.9172,,,,,,,
2012-12-28,8893.872,,,,,,,
2013-01-04,11658.987,,,,,,,
2013-01-11,11666.0421,,,,,,,
2013-01-18,13911.1157,,,,,,,
2013-01-25,11882.9711,,,,,,,
2013-02-01,10937.2994,,,,,,,
2013-02-08,11914.4303,,,,,,,
2013-02-15,11210.8095,,,,,,,
2013-02-22,10690.0499,,,,,,,
2013-03-01,10371.5133,,,,,,,
2013-03-08,9269.6823,,,,,,,
2013-03-15,8357.0535,,,,,,,
2013-03-22,9228.6158,,,,,,,
2013-03-29,9368.8419,,,,,,,
2013-04-05,9565.1808,,,,,,,
2013-04-12,9354.371,,,,,,,
2013-04-19,9817.0252,,,,,,,
2013-04-26,9331.1923,,,,,,,
2013-05-03,9411.9064,,,,,,,
2013-05-10,8996.9915,,,,,,,
2013-05-17,8757.453,,,,,,,
2013-05-24,8848.2981,,,,,,,
2013-05-31,8612.152,,,,,,,
2013-06-07,9176.2307,,,,,,,
2013-06-14,8515.1742,,,,,,,
2013-06-21,7972.7594,,,,,,,
2013-06-28,8552.788,,,,,,,
2013-07-05,8806.712,,,,,,,
2013-07-12,12167.7148,,,,,,,
2013-07-19,16375.7923,,,,,,,
2013-07-26,16556.2118,,,,,,,
